# Iteration time x1 v1 x2 v2 e
0 0.0 -1.0 0.0 -1.0 0.0 1.5
1 0.05 -0.99875 0.05 -0.995 0.2 1.50002578125
2 0.1 -0.9950015625 0.099875 -0.9960443634011157 0.39943585234036333 1.5319931863980725
3 0.15000000000000002 -0.988764060546875 0.149500234375 -0.9939052008875099 0.597845557955592 1.5772047198967116
4 0.2 -0.9800530937524414 0.19875156210937503 -0.9893348425647268 0.7947297993611915 1.6366854192180669
5 0.25 -0.9688904492797822 0.24750577734436038 -0.9822842335797084 0.9895963038496178 1.7097114329496885
6 0.3 -0.9553040473509645 0.29564091758666905 -0.9727759052525776 1.1819575839399068 1.7955535819165482
7 0.35 -0.9393278714124423 0.34303656880723393 -0.9608332430304007 1.371332439537447 1.8933441546198835
8 0.39999999999999997 -0.9210018831328151 0.389574166666847 -0.9464861507011165 1.5572471388075988 2.00209694633431
9 0.44999999999999996 -0.9003719224455567 0.4351372931151542 -0.9297705122218938 1.7392366051104517 2.1207162288303407
10 0.49999999999999994 -0.8774895928867421 0.47961196762103814 -0.9107281394826516 1.916845580282569 2.248007801262669
11 0.5499999999999999 -0.8524121325145818 0.522886932305849 -0.8894066646822094 2.089629763521228 2.382690946146717
12 0.6 -0.8252022707336462 0.5648539302661958 -0.8658594214284565 2.257156922846784 2.5234112563457796
13 0.65 -0.7959280713819193 0.6054079763900454 -0.8401453113099858 2.4190079763769203 2.6687541979051597
14 0.7000000000000001 -0.7646627624731896 0.6444476199886539 -0.8123286565604049 2.5747780407067102 2.8172592736066884
15 0.7500000000000001 -0.7314845530206655 0.6818751985873276 -0.7824790391605833 2.724077443771944 2.967434645520617
16 0.8000000000000002 -0.6964764374000233 0.7175970822401266 -0.7506711267832117 2.8665326996619225 3.11777207029023
17 0.8500000000000002 -0.659725987741267 0.7515239077573277 -0.7169844860148946 3.0017874429430944 3.26676199775477
18 0.9000000000000002 -0.6213251348687241 0.7835708022596943 -0.6815033833230173 3.1295033201562137 3.41290868188468
19 0.9500000000000003 -0.5813699383371534 0.8136575955003059 -0.6443165742652535 3.249360836256807 3.554745152881539
20 1.0000000000000002 -0.5399603461392166 0.8417090204227883 -0.6055170814690048 3.3610601538814655 3.6908479006851027
21 1.0500000000000003 -0.49719994468540313 0.8676549014542206 -0.5652019619361535 3.4643218434404606 3.8198511230175054
22 1.1000000000000003 -0.4531956996818354 0.891430330061673 -0.5234720642552073 3.5588875821602177 3.9404603954511437
23 1.1500000000000004 -0.4080576885541494 0.9129758271331877 -0.4804317763281787 3.644520800326859 4.051465626768473
24 1.2000000000000004 -0.3618988250867974 0.9322374917769787 -0.43618876424325265 3.7210072731141146 4.151753170031009
25 1.2500000000000004 -0.31483457696658995 0.9491671361665973 -0.3908537029464607 3.7881556565150323 4.240316968219885
26 1.3000000000000005 -0.26698267693705185 0.9637224060947186 -0.34453999938608737 3.8457979660367196 4.316268622966742
27 1.3500000000000005 -0.21846282828614463 0.9758668869339527 -0.2973635088223704 3.893789996960551 4.378846285665136
28 1.4000000000000006 -0.16939640540408932 0.9855701947395925 -0.2494422450121506 3.9320116851164415 4.427422282031194
29 1.4500000000000006 -0.11990615016035458 0.9928080522663725 -0.20089608499345735 3.9603674072685915 4.4615093938501476
30 1.5000000000000007 -0.07011586485933552 0.9975623497090572 -0.15184646920851597 3.9787862203611772 4.480765735076102
31 1.5500000000000007 -0.020150102542808482 0.9998211900148877 -0.10241609771533494 3.9872220390254007 4.484998173511341
32 1.6000000000000008 0.029866144586114415 0.9995789186545095 -0.052728623247809914 3.9856537509037615 4.474164263838394
33 1.6500000000000008 0.07980775783810726 0.9968361377768856 -0.0029083418921697635 3.9740852695029587 4.4483726726672055
34 1.7000000000000008 0.1295498050296539 0.9915997047127592 0.04692011784644545 3.9525455244431127 4.407882091342371
35 1.7500000000000009 0.1789678530090048 0.9838827148303856 0.09663210680946072 3.9210883891276005 4.353098647380587
36 1.800000000000001 0.22793827893426283 0.9737044687863973 0.14610326700249432 3.8797925460143445 4.284571840424976
37 1.850000000000001 0.2763385795249149 0.9610904242537012 0.195209842685108 3.828761289825491 4.202989043360687
38 1.900000000000001 0.32404767751319385 0.9460721322471383 0.2438289899544676 3.7681222691876624 4.109168623587381
39 1.950000000000001 0.3709462245286593 0.9286871582061696 0.2918390840484684 3.698027167348996 4.0040517532456175
40 2.000000000000001 0.4169168996583069 0.908978988031979 0.3391200235995838 3.6186513227715706 3.888692990307459
41 2.0500000000000007 0.461844702935333 0.8869969193140236 0.3855535310783231 3.530193290548246 3.764249724735924
42 2.1000000000000005 0.505617243022365 0.8627959380181144 0.43102344867471376 3.4328743457409656 3.631970595270107
43 2.1500000000000004 0.5481250183694928 0.8364365809444735 0.47541602887763357 3.3269379298828605 3.4931829926894107
44 2.2 0.5892616911437546 0.8079847842998182 0.5186202190250877 3.2126490420286737 3.3492797745483793
45 2.25 0.6289243532448159 0.7775117187622558 0.5605279391135918 3.0902935758767445 3.2017053242617233
46 2.3 0.6670137837413725 0.7450936114515622 0.6010343521717013 2.9601776046207045 3.0519410939784066
47 2.3499999999999996 0.703434697084274 0.710811555250179 0.6400381265213148 2.822626615319783 2.90149077584843
48 2.3999999999999995 0.7380959814754275 0.6747513059519026 0.677441689270678 2.677984694702922 2.751865250004672
49 2.4499999999999993 0.7709109267961783 0.6370030677456913 0.7131514704049426 2.5266136684433778 2.60456745981754
50 2.499999999999999 0.8017974415249677 0.5976612675712002 0.7470781368636616 2.3688921960569034 2.4610773657099037
51 2.549999999999999 0.8306782581016215 0.5568243189104878 0.7791368160196438 2.205214823687608 2.3228371280365567
52 2.5999999999999988 0.8574811262245189 0.5145943756067686 0.8092473080001042 2.0359909971509413 2.1912366672440315
53 2.6499999999999986 0.8821389935970767 0.4710770763260341 0.8373342863189602 1.8616440377026748 2.0675997457559356
54 2.6999999999999984 0.9045901736713822 0.4263812803007727 0.8633274863183578 1.682610083096006 1.953170710813735
55 2.7499999999999982 0.9247784999693316 0.3806187950168276 0.8871618809480151 1.499336996575734 1.8491020308952002
56 2.799999999999998 0.9426534665952113 0.33390409652458997 0.9087778434426351 1.312283246538684 1.7564427503987097
57 2.849999999999998 0.9581703545881968 0.28635404307417367 0.9281212964904264 1.121916759662929 1.6761279781005096
58 2.8999999999999977 0.9712903437986702 0.2380875827909211 0.9451438475195462 0.9287137503747369 1.6089695145557097
